covered 103 missing 258
105	ho-chi-minh-di-trung-quoc-phoi-hop-chong-nhat	Hồ Chí Minh đi Trung Quốc để tìm cách phối hợp hành động với phong trào chống Nhật và các lực lượng Đồng minh	Tháng 8 – 1942
106	ho-chi-minh-sang-trung-quoc-1942	Nguyễn Ái Quốc lấy tên là Hồ Chí Minh, sang Trung Quốc	Tháng 8 – 1942
107	ho-chi-minh-tro-ve-nuoc-1944	Hồ Chí Minh trở về nước tiếp tục lãnh đạo cách mạng	Tháng 9 – 1944
108	chi-thi-thanh-lap-doi-viet-nam-tuyen-truyen-giai-phong-quan	Chỉ thị thành lập Đội Việt Nam Tuyên truyền Giải phóng quân	22 – 12 – 1944
109	ho-chi-minh-sang-con-minh-tim-su-ung-ho-quoc-te	Hồ Chí Minh sang Côn Minh (Trung Quốc) tìm kiếm sự ủng hộ quốc tế	Tháng 2-1945
110	cao-trao-khang-nhat-cuu-nuoc	Cao trào kháng Nhật, cứu nước	Từ tháng 3 đến tháng 8 – 1945
111	viet-minh-hop-tac-oss-1945	Việt Minh hợp tác với Cơ quan Tình báo chiến lược Mỹ (OSS)	Cuối tháng 4 – 1945
112	hoi-nghi-pot-xdam	Hội nghị Pốt-xđam	Từ ngày 17-7 – 1945 đến ngày 2 – 8 – 1945
113	uy-ban-khoi-nghia-ban-bo-quan-lenh-so-1	Trung ương Đảng và Tổng bộ Việt Minh thành lập Uỷ ban Khởi nghĩa toàn quốc, ban bố Quân lệnh số 1	Ngày 13-8-1945
114	cach-mang-thang-tam-nam-1945	Cách mạng tháng Tám năm 1945	Tháng 8 – 9 năm 1945
115	hoi-nghi-toan-quoc-cua-dang-cong-san-dong-duong-1945	Hội nghị toàn quốc của Đảng Cộng sản Đông Dương	Từ ngày 14 đến ngày 15-8-1945
116	hoi-nghi-toan-quoc-cua-dang-tan-trao	Hội nghị toàn quốc của Đảng họp ở Tân Trào	Ngày 14, 15-8 – 1945
117	nhat-ban-tuyen-bo-dau-hang-dong-minh	Nhật Bản tuyên bố đầu hàng Đồng minh không điều kiện	Ngày 15 – 8 – 1945
118	giai-phong-thi-xa-thai-nguyen	Giải phóng thị xã Thái Nguyên	Chiều ngày 16 – 8 – 1945
119	cac-tinh-gianh-chinh-quyen-som-nhat	Nhân dân Bắc Giang, Hải Dương, Hà Tĩnh và Quảng Nam giành được chính quyền	Ngày 18-8-1945
120	khoi-nghia-gianh-chinh-quyen-hue	Khởi nghĩa giành chính quyền tại Huế	Ngày 23 – 8
